,0,1,2
0,assistant (pos 42),0.01039,42
1,today (pos 32),0.00701,32
2,5 (pos 38),0.00602,38
3,Date (pos 9),0.005344,9
4,before (pos 33),0.005005,33
5,Is (pos 31),0.004276,31
6,or (pos 34),0.004074,34
7,user (pos 28),0.003721,28
8,3 (pos 14),0.003597,14
9,after (pos 35),0.003498,35
10,"202 (pos 37, occ 3)",0.00344,37
11,"202 (pos 23, occ 2)",0.003422,23
12,Knowledge (pos 8),0.002787,8
13,"Date (pos 17, occ 2)",0.002516,17
14,202 (pos 13),0.002203,13
15,4 (pos 24),0.00208,24
16," (pos 36, occ 4)",0.0019245,36
17,system (pos 3),0.001543,3
18,Today (pos 16),0.001513,16
19, (pos 12),0.001491,12
20," (pos 22, occ 3)",0.001083,22
21,December (pos 11),0.001032,11
22,Dec (pos 21),0.000945,21
23,Cut (pos 6),0.0009155,6
24,ting (pos 7),0.0007415,7
25," (pos 19, occ 2)",0.000695,19
26,16 (pos 20),0.000519,20
