,Layer,Token,Attention
0,Layer 0,assistant,0.01487
1,Layer 0,or,0.00902
2,Layer 0,user,0.005634
3,Layer 0,Is,0.005455
4,Layer 0,today,0.0051
5,Layer 0,5,0.00437
6,Layer 0,after,0.00389
7,Layer 0,,0.003263
8,Layer 0,before,0.003181
9,Layer 0,Today,0.003178
10,Layer 1,assistant,0.005505
11,Layer 1,Is,0.003609
12,Layer 1,user,0.002361
13,Layer 1,before,0.002058
14,Layer 1,today,0.001865
15,Layer 1,5,0.001807
16,Layer 1,or,0.001693
17,Layer 1,,0.001497
18,Layer 1,202,0.001391
19,Layer 1,3,0.001175
20,Layer 2,today,0.002998
21,Layer 2,assistant,0.0026
22,Layer 2,before,0.002539
23,Layer 2,user,0.001476
24,Layer 2,Is,0.001474
25,Layer 2,5,0.001214
26,Layer 2,202,0.0011835
27,Layer 2,or,0.001031
28,Layer 2,after,0.000914
29,Layer 2,202,0.0005517
30,Layer 3,assistant,0.007477
31,Layer 3,before,0.003607
32,Layer 3,or,0.003006
33,Layer 3,after,0.002956
34,Layer 3,today,0.00238
35,Layer 3,user,0.002352
36,Layer 3,Is,0.002241
37,Layer 3,202,0.001853
38,Layer 3,202,0.001593
39,Layer 3,5,0.001477
40,Layer 4,after,0.00923
41,Layer 4,assistant,0.006435
42,Layer 4,or,0.005974
43,Layer 4,5,0.0058
44,Layer 4,user,0.00505
45,Layer 4,202,0.004528
46,Layer 4,Is,0.00395
47,Layer 4,before,0.003866
48,Layer 4,202,0.00385
49,Layer 4,today,0.003162
50,Layer 5,assistant,0.02051
51,Layer 5,5,0.01015
52,Layer 5,user,0.007427
53,Layer 5,202,0.005417
54,Layer 5,Is,0.00505
55,Layer 5,or,0.004215
56,Layer 5,after,0.00408
57,Layer 5,before,0.003881
58,Layer 5,3,0.00351
59,Layer 5,today,0.003408
60,Layer 6,assistant,0.02388
61,Layer 6,5,0.01889
62,Layer 6,today,0.0108
63,Layer 6,before,0.008194
64,Layer 6,after,0.007835
65,Layer 6,202,0.007477
66,Layer 6,or,0.00575
67,Layer 6,202,0.005013
68,Layer 6,Is,0.004997
69,Layer 6,user,0.004467
70,Layer 7,assistant,0.0179
71,Layer 7,5,0.012566
72,Layer 7,user,0.01128
73,Layer 7,today,0.01123
74,Layer 7,3,0.01007
75,Layer 7,202,0.00846
76,Layer 7,202,0.008224
77,Layer 7,Is,0.00787
78,Layer 7,before,0.007473
79,Layer 7,4,0.00636
80,Layer 8,assistant,0.02472
81,Layer 8,today,0.01746
82,Layer 8,Date,0.01467
83,Layer 8,3,0.01163
84,Layer 8,Is,0.010635
85,Layer 8,before,0.009384
86,Layer 8,user,0.00818
87,Layer 8,202,0.00777
88,Layer 8,5,0.00673
89,Layer 8,202,0.006172
90,Layer 9,assistant,0.01888
91,Layer 9,today,0.01791
92,Layer 9,5,0.0159
93,Layer 9,before,0.01213
94,Layer 9,or,0.010506
95,Layer 9,Is,0.00911
96,Layer 9,3,0.00706
97,Layer 9,after,0.007
98,Layer 9,202,0.006104
99,Layer 9,Date,0.00557
100,Layer 10,Date,0.0306
101,Layer 10,Date,0.010445
102,Layer 10,today,0.01025
103,Layer 10,before,0.009285
104,Layer 10,5,0.00826
105,Layer 10,or,0.007206
106,Layer 10,assistant,0.00573
107,Layer 10,202,0.005497
108,Layer 10,after,0.00523
109,Layer 10,,0.004707
110,Layer 11,today,0.01118
111,Layer 11,Date,0.00815
112,Layer 11,assistant,0.0069
113,Layer 11,Date,0.006695
114,Layer 11,before,0.005615
115,Layer 11,Is,0.004604
116,Layer 11,202,0.004475
117,Layer 11,5,0.003168
118,Layer 11,after,0.003014
119,Layer 11,Today,0.002983
120,Layer 12,Knowledge,0.01078
121,Layer 12,Date,0.00858
122,Layer 12,,0.006786
123,Layer 12,today,0.005646
124,Layer 12,Date,0.00541
125,Layer 12,202,0.004574
126,Layer 12,assistant,0.0045
127,Layer 12,December,0.003683
128,Layer 12,system,0.003506
129,Layer 12,before,0.003107
130,Layer 13,today,0.003668
131,Layer 13,Knowledge,0.003464
132,Layer 13,,0.002604
133,Layer 13,assistant,0.002499
134,Layer 13,before,0.00191
135,Layer 13,Date,0.001759
136,Layer 13,3,0.001683
137,Layer 13,5,0.001382
138,Layer 13,Today,0.001345
139,Layer 13,Date,0.0011835
140,Layer 14,Knowledge,0.004154
141,Layer 14,,0.00366
142,Layer 14,Date,0.003222
143,Layer 14,202,0.0032
144,Layer 14,today,0.001963
145,Layer 14,assistant,0.001955
146,Layer 14,system,0.001597
147,Layer 14,202,0.001579
148,Layer 14,Date,0.0014715
149,Layer 14,,0.001299
150,Layer 15,today,0.00314
151,Layer 15,before,0.00274
152,Layer 15,Date,0.002441
153,Layer 15,Knowledge,0.002085
154,Layer 15,assistant,0.001957
155,Layer 15,5,0.001949
156,Layer 15,after,0.001802
157,Layer 15,,0.001501
158,Layer 15,Date,0.001455
159,Layer 15,Is,0.001429
