,0,1,2
0,"4 (pos 39, occ 2)",0.0076416056,39
1,"202 (pos 23, occ 2)",0.005322239,23
2,204 (pos 38),0.004708009,38
3,assistant (pos 43),0.004138492,43
4,"""What (pos 31)",0.003650194,31
5,happen (pos 35),0.0033992303,35
6,3 (pos 14),0.003215031,14
7," (pos 37, occ 4)",0.0022612198,37
8,in (pos 36),0.002120863,36
9,user (pos 28),0.0019789801,28
10,is (pos 32),0.0017346119,32
11,4 (pos 24),0.0014009286,24
12,to (pos 34),0.0012718812,34
13,202 (pos 13),0.0012363025,13
14,Knowledge (pos 8),0.00081402506,8
15,Today (pos 16),0.00075443415,16
16,Date (pos 9),0.0006990799,9
17,Cut (pos 6),0.0006848579,6
18,Dec (pos 21),0.0006490756,21
19,going (pos 33),0.0006440818,33
20," (pos 22, occ 3)",0.00059109554,22
21,system (pos 3),0.0005290045,3
22,December (pos 11),0.00050462194,11
23,"Date (pos 17, occ 2)",0.00041862062,17
24,ting (pos 7),0.00033034364,7
25,17 (pos 20),0.00031301545,20
26, (pos 12),0.00030943396,12
27," (pos 19, occ 2)",0.00020160376,19
