,Layer,Token,Attention
0,Layer 0,assistant,0.005872837
1,Layer 0,"""What",0.004715438
2,Layer 0,to,0.0039086016
3,Layer 0,in,0.003779803
4,Layer 0,user,0.003607789
5,Layer 0,is,0.003028867
6,Layer 0,Today,0.0024486082
7,Layer 0,4,0.0023687657
8,Layer 0,December,0.0021790676
9,Layer 0,4,0.0021521987
10,Layer 1,3,0.0045282417
11,Layer 1,assistant,0.0042864606
12,Layer 1,"""What",0.003625531
13,Layer 1,user,0.0033287664
14,Layer 1,202,0.0025027546
15,Layer 1,Dec,0.001107164
16,Layer 1,,0.00097163074
17,Layer 1,happen,0.0008445944
18,Layer 1,204,0.0008327624
19,Layer 1,going,0.0008195192
20,Layer 2,"""What",0.0055534802
21,Layer 2,user,0.0030151568
22,Layer 2,assistant,0.0026688187
23,Layer 2,4,0.0018911943
24,Layer 2,204,0.0017268718
25,Layer 2,is,0.001660005
26,Layer 2,3,0.0015444617
27,Layer 2,happen,0.0015074543
28,Layer 2,202,0.0011961834
29,Layer 2,in,0.0010378085
30,Layer 3,202,0.0048815776
31,Layer 3,assistant,0.0036027157
32,Layer 3,"""What",0.0034845308
33,Layer 3,202,0.0028185258
34,Layer 3,204,0.0027097703
35,Layer 3,user,0.0024593193
36,Layer 3,4,0.0023536282
37,Layer 3,3,0.0021341825
38,Layer 3,4,0.0021163959
39,Layer 3,happen,0.0017963453
40,Layer 4,202,0.008566538
41,Layer 4,"""What",0.0051893205
42,Layer 4,4,0.0050945887
43,Layer 4,happen,0.003815236
44,Layer 4,,0.003028883
45,Layer 4,3,0.0027843567
46,Layer 4,user,0.0026364648
47,Layer 4,4,0.0025233417
48,Layer 4,204,0.002495227
49,Layer 4,assistant,0.0024278646
50,Layer 5,202,0.007259595
51,Layer 5,happen,0.006026486
52,Layer 5,4,0.0059352904
53,Layer 5,"""What",0.0039545335
54,Layer 5,assistant,0.0038299484
55,Layer 5,3,0.0038098735
56,Layer 5,to,0.0036223128
57,Layer 5,in,0.0034933363
58,Layer 5,204,0.0033436501
59,Layer 5,,0.003269024
60,Layer 6,4,0.009303293
61,Layer 6,happen,0.008812999
62,Layer 6,3,0.0062580775
63,Layer 6,202,0.005772142
64,Layer 6,204,0.0053114607
65,Layer 6,"""What",0.0042633703
66,Layer 6,in,0.003990517
67,Layer 6,assistant,0.0034836882
68,Layer 6,,0.0029166655
69,Layer 6,user,0.0022231748
70,Layer 7,4,0.015109144
71,Layer 7,202,0.014293593
72,Layer 7,assistant,0.009691621
73,Layer 7,204,0.006823688
74,Layer 7,"""What",0.0059049577
75,Layer 7,3,0.0053381715
76,Layer 7,happen,0.0051474655
77,Layer 7,is,0.0035405238
78,Layer 7,,0.0035131746
79,Layer 7,4,0.0034625633
80,Layer 8,4,0.01659377
81,Layer 8,202,0.012534544
82,Layer 8,204,0.0085769305
83,Layer 8,happen,0.008115346
84,Layer 8,in,0.0075198053
85,Layer 8,is,0.005739541
86,Layer 8,assistant,0.0052753384
87,Layer 8,"""What",0.004670132
88,Layer 8,,0.0038604264
89,Layer 8,3,0.0024219283
90,Layer 9,4,0.02332266
91,Layer 9,204,0.010946315
92,Layer 9,happen,0.010499325
93,Layer 9,assistant,0.0042068227
94,Layer 9,in,0.004124135
95,Layer 9,"""What",0.003854902
96,Layer 9,202,0.0034748716
97,Layer 9,is,0.002910024
98,Layer 9,,0.0026407018
99,Layer 9,user,0.0020957538
100,Layer 10,4,0.014495904
101,Layer 10,204,0.010552197
102,Layer 10,202,0.0039256406
103,Layer 10,,0.0032959036
104,Layer 10,"""What",0.0031302697
105,Layer 10,assistant,0.00302323
106,Layer 10,3,0.0029629979
107,Layer 10,in,0.0021507726
108,Layer 10,happen,0.0019226143
109,Layer 10,user,0.0014771629
110,Layer 11,4,0.009090988
111,Layer 11,assistant,0.0075325402
112,Layer 11,204,0.006483433
113,Layer 11,,0.004494936
114,Layer 11,202,0.003998141
115,Layer 11,3,0.0023192023
116,Layer 11,"""What",0.0022610498
117,Layer 11,happen,0.0019433931
118,Layer 11,user,0.0013755115
119,Layer 11,Today,0.0012887233
120,Layer 12,assistant,0.004397508
121,Layer 12,202,0.0043658284
122,Layer 12,4,0.0037805708
123,Layer 12,3,0.003502494
124,Layer 12,"""What",0.0033085935
125,Layer 12,204,0.0031489679
126,Layer 12,Knowledge,0.0017008561
127,Layer 12,4,0.0014243867
128,Layer 12,Date,0.0013725124
129,Layer 12,user,0.0013509846
130,Layer 13,3,0.0067088753
131,Layer 13,4,0.0065226876
132,Layer 13,204,0.002585777
133,Layer 13,202,0.0025625438
134,Layer 13,assistant,0.0023615283
135,Layer 13,"""What",0.0014317501
136,Layer 13,Knowledge,0.0011474025
137,Layer 13,Today,0.0011178867
138,Layer 13,,0.0008854825
139,Layer 13,Cut,0.00082139345
140,Layer 14,202,0.008632025
141,Layer 14,204,0.0044724816
142,Layer 14,4,0.003015279
143,Layer 14,3,0.0026692185
144,Layer 14,"""What",0.0021454012
145,Layer 14,assistant,0.0020992036
146,Layer 14,,0.0015600862
147,Layer 14,4,0.001127273
148,Layer 14,Cut,0.0008963858
149,Layer 14,Knowledge,0.0008146457
150,Layer 15,204,0.0041938582
151,Layer 15,4,0.002628831
152,Layer 15,202,0.0019350521
153,Layer 15,assistant,0.0014557126
154,Layer 15,,0.0013095145
155,Layer 15,3,0.0009510261
156,Layer 15,"""What",0.00090984453
157,Layer 15,Knowledge,0.0008492829
158,Layer 15,Cut,0.0008240051
159,Layer 15,Today,0.0006508711
