,0,1,2
0,"202 (pos 23, occ 2)",0.004109772,23
1,after (pos 36),0.0038438814,36
2,or (pos 35),0.003826382,35
3,5 (pos 39),0.0031678088,39
4,assistant (pos 43),0.003133046,43
5,today (pos 33),0.0027725745,33
6,before (pos 34),0.0024079273,34
7,"202 (pos 38, occ 3)",0.0019943782,38
8,3 (pos 14),0.0019702674,14
9," (pos 37, occ 4)",0.0017828089,37
10,Is (pos 32),0.0015039521,32
11,4 (pos 24),0.0014206133,24
12,user (pos 28),0.0014035034,28
13,202 (pos 13),0.00085021846,13
14," (pos 22, occ 3)",0.00084424746,22
15,Today (pos 16),0.0008171378,16
16,Dec (pos 21),0.00073345465,21
17,Date (pos 9),0.0005520264,9
18,"Date (pos 17, occ 2)",0.00053106016,17
19,December (pos 11),0.0005210286,11
20,17 (pos 20),0.0004903201,20
21,system (pos 3),0.0004466772,3
22,Cut (pos 6),0.00042625703,6
23,Knowledge (pos 8),0.00038827915,8
24, (pos 12),0.00037779103,12
25," (pos 19, occ 2)",0.00033808927,19
26,ting (pos 7),0.00025458122,7
