,Layer,Token,Attention
0,Layer 0,assistant,0.009092021
1,Layer 0,user,0.0038152777
2,Layer 0,Is,0.0035298704
3,Layer 0,or,0.003471502
4,Layer 0,202,0.0031156426
5,Layer 0,5,0.0025706287
6,Layer 0,202,0.0025351262
7,Layer 0,today,0.0024629924
8,Layer 0,4,0.0023703803
9,Layer 0,202,0.002049722
10,Layer 1,assistant,0.0032938751
11,Layer 1,user,0.0018681444
12,Layer 1,3,0.0016404162
13,Layer 1,202,0.001486712
14,Layer 1,Is,0.0013390285
15,Layer 1,or,0.0009592474
16,Layer 1,today,0.00087107567
17,Layer 1,Dec,0.0008167527
18,Layer 1,before,0.00078728737
19,Layer 1,5,0.0007685444
20,Layer 2,5,0.0022134553
21,Layer 2,before,0.0016693906
22,Layer 2,202,0.0016266573
23,Layer 2,Is,0.0014892436
24,Layer 2,user,0.0014744481
25,Layer 2,today,0.0014319685
26,Layer 2,assistant,0.0013708873
27,Layer 2,after,0.0013270513
28,Layer 2,202,0.001135788
29,Layer 2,3,0.0011276647
30,Layer 3,202,0.002343178
31,Layer 3,assistant,0.001438509
32,Layer 3,or,0.0009093084
33,Layer 3,202,0.00087091874
34,Layer 3,Is,0.00085022405
35,Layer 3,after,0.0007562235
36,Layer 3,user,0.0007537855
37,Layer 3,3,0.0007326699
38,Layer 3,5,0.00054299907
39,Layer 3,before,0.00052149623
40,Layer 4,or,0.003924654
41,Layer 4,after,0.0025238064
42,Layer 4,202,0.0018417346
43,Layer 4,5,0.0017184487
44,Layer 4,3,0.0014610759
45,Layer 4,Is,0.0012326697
46,Layer 4,202,0.0012264523
47,Layer 4,4,0.0011288348
48,Layer 4,user,0.0011089947
49,Layer 4,assistant,0.0010934108
50,Layer 5,or,0.0140462415
51,Layer 5,after,0.009709687
52,Layer 5,before,0.006342214
53,Layer 5,202,0.0037287227
54,Layer 5,5,0.0033363476
55,Layer 5,,0.0020069808
56,Layer 5,Is,0.0017166068
57,Layer 5,assistant,0.0013938341
58,Layer 5,user,0.0013405384
59,Layer 5,3,0.0013091313
60,Layer 6,or,0.016496588
61,Layer 6,after,0.01274709
62,Layer 6,before,0.007387603
63,Layer 6,5,0.0043640146
64,Layer 6,Is,0.0029423875
65,Layer 6,202,0.002666426
66,Layer 6,3,0.0021923657
67,Layer 6,,0.0017727204
68,Layer 6,202,0.0017004091
69,Layer 6,assistant,0.0015351482
70,Layer 7,202,0.0061121774
71,Layer 7,or,0.0060669594
72,Layer 7,5,0.004868707
73,Layer 7,after,0.0042971345
74,Layer 7,assistant,0.003859335
75,Layer 7,202,0.0033282435
76,Layer 7,4,0.0022851874
77,Layer 7,,0.0021240367
78,Layer 7,before,0.0020903314
79,Layer 7,3,0.002018624
80,Layer 8,202,0.009412622
81,Layer 8,after,0.0074853096
82,Layer 8,5,0.006610662
83,Layer 8,or,0.004908595
84,Layer 8,202,0.004098891
85,Layer 8,assistant,0.0034666383
86,Layer 8,,0.0031730048
87,Layer 8,before,0.0027934015
88,Layer 8,Is,0.0023664373
89,Layer 8,3,0.002333488
90,Layer 9,after,0.0062405984
91,Layer 9,5,0.005416981
92,Layer 9,assistant,0.0046104663
93,Layer 9,202,0.0037964617
94,Layer 9,before,0.002735126
95,Layer 9,or,0.0025838069
96,Layer 9,today,0.0017977434
97,Layer 9,3,0.0016425574
98,Layer 9,202,0.0015910025
99,Layer 9,,0.001440484
100,Layer 10,after,0.00873016
101,Layer 10,5,0.0077703707
102,Layer 10,today,0.0072061303
103,Layer 10,before,0.005271319
104,Layer 10,202,0.0039215637
105,Layer 10,assistant,0.0033811575
106,Layer 10,,0.0033773792
107,Layer 10,202,0.0029204576
108,Layer 10,or,0.0028290986
109,Layer 10,3,0.0018703789
110,Layer 11,today,0.0044019097
111,Layer 11,assistant,0.0039415425
112,Layer 11,202,0.0029942237
113,Layer 11,,0.0029520239
114,Layer 11,5,0.002433341
115,Layer 11,202,0.0018023145
116,Layer 11,3,0.0017529118
117,Layer 11,or,0.0017343762
118,Layer 11,user,0.0015064004
119,Layer 11,,0.0014041543
120,Layer 12,202,0.01228061
121,Layer 12,3,0.0064846636
122,Layer 12,4,0.005651342
123,Layer 12,assistant,0.0053328215
124,Layer 12,today,0.0050037038
125,Layer 12,user,0.002822197
126,Layer 12,202,0.0022494968
127,Layer 12,,0.0019962974
128,Layer 12,Today,0.0016708177
129,Layer 12,5,0.0015160519
130,Layer 13,today,0.005217742
131,Layer 13,202,0.0031852936
132,Layer 13,3,0.002758196
133,Layer 13,assistant,0.00195803
134,Layer 13,5,0.0017225345
135,Layer 13,Today,0.0016621045
136,Layer 13,before,0.0016056881
137,Layer 13,4,0.0013750376
138,Layer 13,202,0.0010880282
139,Layer 13,,0.0010414413
140,Layer 14,202,0.007995263
141,Layer 14,today,0.0050765825
142,Layer 14,,0.0029259115
143,Layer 14,5,0.002794016
144,Layer 14,assistant,0.0025518346
145,Layer 14,3,0.0018407155
146,Layer 14,202,0.0018301554
147,Layer 14,4,0.0017106677
148,Layer 14,before,0.0013887325
149,Layer 14,,0.0010458693
150,Layer 15,today,0.0042446465
151,Layer 15,202,0.0030032834
152,Layer 15,202,0.002629905
153,Layer 15,,0.0026113836
154,Layer 15,5,0.002037848
155,Layer 15,assistant,0.0018092011
156,Layer 15,before,0.0015986991
157,Layer 15,after,0.0015741645
158,Layer 15,4,0.00091808615
159,Layer 15,Is,0.0009104233
