,0,1,2
0,3 (pos 14),0.020639734,14
1,4 (pos 24),0.02046143,24
2,5 (pos 38),0.01961428,38
3,"202 (pos 37, occ 3)",0.012741128,37
4,"202 (pos 23, occ 2)",0.006562288,23
5,202 (pos 13),0.0056911665,13
6,assistant (pos 42),0.0050893,42
7,today (pos 32),0.0042994427,32
8," (pos 22, occ 3)",0.0034727969,22
9,before (pos 33),0.0033619672,33
10,Dec (pos 21),0.003076943,21
11,after (pos 35),0.0029351106,35
12,user (pos 28),0.0025470722,28
13,Date (pos 9),0.0025195458,9
14,16 (pos 20),0.0024916572,20
15,or (pos 34),0.0020247418,34
16," (pos 36, occ 4)",0.0020042243,36
17,December (pos 11),0.0019527114,11
18,Is (pos 31),0.0017672125,31
19,Today (pos 16),0.001747097,16
20, (pos 12),0.0015956725,12
21,"Date (pos 17, occ 2)",0.0013550603,17
22,system (pos 3),0.0010761691,3
23,Knowledge (pos 8),0.0010489151,8
24," (pos 19, occ 2)",0.0006865751,19
25,ting (pos 7),0.0006740916,7
26,Cut (pos 6),0.00062880863,6
