,Layer,Token,Attention
0,Layer 0,assistant,0.012483795
1,Layer 0,202,0.011529205
2,Layer 0,202,0.009634995
3,Layer 0,202,0.009033021
4,Layer 0,or,0.0065332893
5,Layer 0,5,0.0058940286
6,Layer 0,user,0.0054698065
7,Layer 0,today,0.005064764
8,Layer 0,4,0.0044169473
9,Layer 0,,0.0043742214
10,Layer 1,202,0.019074867
11,Layer 1,202,0.009019243
12,Layer 1,202,0.0052831983
13,Layer 1,assistant,0.004787432
14,Layer 1,3,0.0034960224
15,Layer 1,5,0.0024219053
16,Layer 1,Is,0.0022542942
17,Layer 1,user,0.0022514444
18,Layer 1,today,0.002176991
19,Layer 1,or,0.0016519325
20,Layer 2,5,0.02328564
21,Layer 2,202,0.010884246
22,Layer 2,4,0.006804686
23,Layer 2,3,0.0056432965
24,Layer 2,today,0.004126289
25,Layer 2,before,0.0040120035
26,Layer 2,assistant,0.0031919386
27,Layer 2,after,0.003016727
28,Layer 2,202,0.0019064714
29,Layer 2,Is,0.0017313067
30,Layer 3,5,0.014386366
31,Layer 3,today,0.007763241
32,Layer 3,after,0.0072517283
33,Layer 3,202,0.00625646
34,Layer 3,202,0.0060725
35,Layer 3,before,0.005502262
36,Layer 3,assistant,0.004936345
37,Layer 3,3,0.0043842816
38,Layer 3,4,0.004332974
39,Layer 3,202,0.0035261346
40,Layer 4,202,0.011852078
41,Layer 4,202,0.010505584
42,Layer 4,5,0.008645247
43,Layer 4,assistant,0.004917616
44,Layer 4,after,0.0045168754
45,Layer 4,today,0.0041777613
46,Layer 4,3,0.0039466205
47,Layer 4,before,0.0037795356
48,Layer 4,202,0.0035599065
49,Layer 4,4,0.003222692
50,Layer 5,5,0.035851106
51,Layer 5,202,0.011029381
52,Layer 5,3,0.010974679
53,Layer 5,4,0.007853458
54,Layer 5,202,0.0076895556
55,Layer 5,assistant,0.006583003
56,Layer 5,before,0.005717875
57,Layer 5,after,0.005271929
58,Layer 5,today,0.0038955002
59,Layer 5,202,0.0023123773
60,Layer 6,202,0.038771596
61,Layer 6,5,0.038656574
62,Layer 6,202,0.009841741
63,Layer 6,3,0.009195938
64,Layer 6,today,0.008771681
65,Layer 6,before,0.008764699
66,Layer 6,assistant,0.006602866
67,Layer 6,after,0.0049316813
68,Layer 6,Dec,0.0042684264
69,Layer 6,4,0.004051812
70,Layer 7,5,0.03617412
71,Layer 7,202,0.020436188
72,Layer 7,3,0.012675197
73,Layer 7,4,0.010721933
74,Layer 7,assistant,0.008015184
75,Layer 7,before,0.007841244
76,Layer 7,today,0.0065712733
77,Layer 7,,0.006049982
78,Layer 7,Dec,0.004534712
79,Layer 7,user,0.0044962415
80,Layer 8,5,0.05207039
81,Layer 8,3,0.04497031
82,Layer 8,202,0.036287945
83,Layer 8,4,0.02297544
84,Layer 8,Date,0.015164447
85,Layer 8,202,0.01349419
86,Layer 8,,0.011703486
87,Layer 8,today,0.010914815
88,Layer 8,202,0.00938977
89,Layer 8,Dec,0.008187051
90,Layer 9,5,0.024755206
91,Layer 9,202,0.009434555
92,Layer 9,today,0.005898703
93,Layer 9,3,0.0055385074
94,Layer 9,assistant,0.0041607055
95,Layer 9,4,0.004095737
96,Layer 9,,0.0039189146
97,Layer 9,Date,0.0033801636
98,Layer 9,before,0.0030497992
99,Layer 9,user,0.0028562068
100,Layer 10,4,0.04898685
101,Layer 10,3,0.038536984
102,Layer 10,,0.0128725935
103,Layer 10,5,0.011599654
104,Layer 10,202,0.0074114488
105,Layer 10,202,0.0067876354
106,Layer 10,202,0.0067684427
107,Layer 10,16,0.005389796
108,Layer 10,Dec,0.0053743706
109,Layer 10,assistant,0.0035973473
110,Layer 11,3,0.039059587
111,Layer 11,4,0.03338803
112,Layer 11,5,0.012927826
113,Layer 11,Dec,0.0074589327
114,Layer 11,assistant,0.0064487453
115,Layer 11,December,0.005187113
116,Layer 11,202,0.0047365036
117,Layer 11,user,0.0041781473
118,Layer 11,today,0.004137188
119,Layer 11,202,0.004136423
120,Layer 12,4,0.056043103
121,Layer 12,3,0.029437803
122,Layer 12,202,0.010863347
123,Layer 12,202,0.009867963
124,Layer 12,16,0.007460467
125,Layer 12,202,0.0071305274
126,Layer 12,Dec,0.003660798
127,Layer 12,assistant,0.00357852
128,Layer 12,5,0.0032667033
129,Layer 12,user,0.002886382
130,Layer 13,3,0.043858472
131,Layer 13,4,0.028871376
132,Layer 13,202,0.006068709
133,Layer 13,5,0.0053685275
134,Layer 13,202,0.004190837
135,Layer 13,,0.002170437
136,Layer 13,202,0.0021698766
137,Layer 13,assistant,0.0009969221
138,Layer 13,Dec,0.0008200259
139,Layer 13,Date,0.00078902167
140,Layer 14,4,0.065409146
141,Layer 14,3,0.03936117
142,Layer 14,5,0.014048648
143,Layer 14,202,0.010488709
144,Layer 14,202,0.0081065595
145,Layer 14,202,0.0046838084
146,Layer 14,16,0.0044482276
147,Layer 14,,0.0038586992
148,Layer 14,Date,0.0024548948
149,Layer 14,Dec,0.001978797
150,Layer 15,3,0.03581823
151,Layer 15,4,0.024788857
152,Layer 15,5,0.02447672
153,Layer 15,202,0.006217363
154,Layer 15,,0.0038213113
155,Layer 15,202,0.0027218598
156,Layer 15,Date,0.0025968733
157,Layer 15,202,0.0021201873
158,Layer 15,assistant,0.0020169679
159,Layer 15,Dec,0.0018256131
