,0,1,2
0,fire (pos 39),0.0020863877,39
1,"202 (pos 23, occ 2)",0.0019051125,23
2,water (pos 36),0.0018699928,36
3,on (pos 37),0.0012773843,37
4,happens (pos 32),0.0011256069,32
5,pour (pos 35),0.001027843,35
6,when (pos 33),0.0009449105,33
7,assistant (pos 42),0.0009162519,42
8,user (pos 28),0.0004934392,28
9,a (pos 38),0.00043156743,38
10,What (pos 31),0.00041534076,31
11,3 (pos 14),0.00040502546,14
12,4 (pos 24),0.00037388576,24
13,you (pos 34),0.00034524774,34
14,202 (pos 13),0.00027245525,13
15," (pos 22, occ 3)",0.00022620533,22
16,Today (pos 16),0.00021017174,16
17,Knowledge (pos 8),0.0001993323,8
18,Cut (pos 6),0.00018677088,6
19,Dec (pos 21),0.0001787868,21
20,Date (pos 9),0.00015764823,9
21," (pos 19, occ 2)",0.00014372618,19
22, (pos 12),0.00013975783,12
23,"Date (pos 17, occ 2)",0.00013826117,17
24,ting (pos 7),0.00013610806,7
25,18 (pos 20),0.00013306174,20
26,December (pos 11),0.00013182357,11
27,system (pos 3),0.000120594384,3
