,Layer,Token,Attention
0,Layer 0,assistant,0.005335664
1,Layer 0,on,0.004726464
2,Layer 0,happens,0.0034373808
3,Layer 0,user,0.0032624486
4,Layer 0,What,0.0030250042
5,Layer 0,a,0.0025762762
6,Layer 0,fire,0.002522741
7,Layer 0,water,0.0022738948
8,Layer 0,Today,0.002243341
9,Layer 0,4,0.0022287357
10,Layer 1,happens,0.0028792776
11,Layer 1,assistant,0.0024360744
12,Layer 1,user,0.0016351014
13,Layer 1,when,0.0010906958
14,Layer 1,a,0.00080726034
15,Layer 1,202,0.0007395593
16,Layer 1,What,0.0007036438
17,Layer 1,fire,0.00070047623
18,Layer 1,pour,0.0006497773
19,Layer 1,on,0.00055909774
20,Layer 2,when,0.0017085132
21,Layer 2,happens,0.0016766863
22,Layer 2,pour,0.0008997872
23,Layer 2,fire,0.00073707587
24,Layer 2,assistant,0.0005492613
25,Layer 2,on,0.000528962
26,Layer 2,water,0.00050337525
27,Layer 2,you,0.0004683518
28,Layer 2,3,0.00043265568
29,Layer 2,a,0.0002914661
30,Layer 3,fire,0.0029140047
31,Layer 3,when,0.0018702692
32,Layer 3,water,0.001431184
33,Layer 3,happens,0.0014190307
34,Layer 3,on,0.00122501
35,Layer 3,pour,0.000989249
36,Layer 3,assistant,0.0008427911
37,Layer 3,202,0.0007580035
38,Layer 3,3,0.00055995514
39,Layer 3,you,0.0004162362
40,Layer 4,fire,0.002399336
41,Layer 4,on,0.0020073482
42,Layer 4,when,0.001985656
43,Layer 4,pour,0.0014723882
44,Layer 4,water,0.001356997
45,Layer 4,assistant,0.001244428
46,Layer 4,happens,0.0012054846
47,Layer 4,202,0.0010214119
48,Layer 4,user,0.0008129846
49,Layer 4,4,0.0006885014
50,Layer 5,fire,0.00362328
51,Layer 5,when,0.0028657438
52,Layer 5,happens,0.0023812577
53,Layer 5,on,0.0017949636
54,Layer 5,202,0.0014026033
55,Layer 5,water,0.0012659931
56,Layer 5,pour,0.0009076976
57,Layer 5,assistant,0.00060838345
58,Layer 5,user,0.00042287694
59,Layer 5,3,0.0002734338
60,Layer 6,fire,0.0024630588
61,Layer 6,on,0.0013450304
62,Layer 6,202,0.0012101704
63,Layer 6,pour,0.0011100805
64,Layer 6,water,0.001010097
65,Layer 6,happens,0.000857874
66,Layer 6,when,0.000634461
67,Layer 6,3,0.00044549702
68,Layer 6,assistant,0.0003959984
69,Layer 6,user,0.00022074582
70,Layer 7,202,0.0034276026
71,Layer 7,fire,0.0028258753
72,Layer 7,on,0.0014268239
73,Layer 7,water,0.0013350839
74,Layer 7,happens,0.0010989209
75,Layer 7,pour,0.0010662953
76,Layer 7,assistant,0.0009616113
77,Layer 7,when,0.00067266333
78,Layer 7,202,0.0005180631
79,Layer 7,4,0.00040125698
80,Layer 8,fire,0.0021615936
81,Layer 8,on,0.0017014553
82,Layer 8,water,0.0010957852
83,Layer 8,202,0.0010514408
84,Layer 8,pour,0.0010253652
85,Layer 8,happens,0.0006269533
86,Layer 8,when,0.00052130595
87,Layer 8,assistant,0.00044064556
88,Layer 8,a,0.00029837902
89,Layer 8,,0.00022469272
90,Layer 9,fire,0.0021760738
91,Layer 9,on,0.0018683573
92,Layer 9,water,0.0016064382
93,Layer 9,202,0.0015299361
94,Layer 9,pour,0.0011448516
95,Layer 9,happens,0.0005439948
96,Layer 9,when,0.00027467104
97,Layer 9,,0.0002383028
98,Layer 9,a,0.00023634646
99,Layer 9,assistant,0.00022567918
100,Layer 10,water,0.00399776
101,Layer 10,fire,0.0018912151
102,Layer 10,202,0.0005452923
103,Layer 10,on,0.0005130811
104,Layer 10,pour,0.00049318396
105,Layer 10,happens,0.00042447462
106,Layer 10,when,0.00034108033
107,Layer 10,a,0.00025744596
108,Layer 10,you,0.00016998607
109,Layer 10,assistant,0.00015645106
110,Layer 11,water,0.003807846
111,Layer 11,fire,0.0022228388
112,Layer 11,pour,0.0008659772
113,Layer 11,202,0.00084690837
114,Layer 11,on,0.00073686545
115,Layer 11,assistant,0.00072937895
116,Layer 11,happens,0.00031617004
117,Layer 11,4,0.00027072238
118,Layer 11,user,0.0002590915
119,Layer 11,What,0.0002497036
120,Layer 12,202,0.004403131
121,Layer 12,water,0.0030768665
122,Layer 12,fire,0.0022073241
123,Layer 12,pour,0.0011116967
124,Layer 12,on,0.00048475285
125,Layer 12,happens,0.00038443692
126,Layer 12,3,0.00033006584
127,Layer 12,when,0.00025621604
128,Layer 12,a,0.0002527469
129,Layer 12,4,0.00023252062
130,Layer 13,water,0.002620327
131,Layer 13,fire,0.002302763
132,Layer 13,202,0.00174628
133,Layer 13,pour,0.00086063833
134,Layer 13,when,0.00029143007
135,Layer 13,on,0.00027065593
136,Layer 13,3,0.0002609476
137,Layer 13,happens,0.00025143073
138,Layer 13,4,0.00016955206
139,Layer 13,What,0.00014967051
140,Layer 14,202,0.008927396
141,Layer 14,water,0.0020445297
142,Layer 14,fire,0.0008543871
143,Layer 14,pour,0.0007980036
144,Layer 14,on,0.00058575434
145,Layer 14,3,0.00049628
146,Layer 14,a,0.00033904306
147,Layer 14,4,0.00033567182
148,Layer 14,,0.00030356602
149,Layer 14,you,0.00027314274
150,Layer 15,water,0.001978602
151,Layer 15,202,0.0018847001
152,Layer 15,fire,0.0013801564
153,Layer 15,pour,0.0010109375
154,Layer 15,on,0.00066351943
155,Layer 15,when,0.000340266
156,Layer 15,a,0.00031821805
157,Layer 15,happens,0.00027821204
158,Layer 15,,0.0002656176
159,Layer 15,assistant,0.00022626214
