,Layer,Token,Attention
0,Layer 0,assistant,0.020225218
1,Layer 0,What,0.012148692
2,Layer 0,user,0.008639202
3,Layer 0,is,0.008055727
4,Layer 0,of,0.0075799827
5,Layer 0,France,0.006195238
6,Layer 0,202,0.005633921
7,Layer 0,capital,0.005297124
8,Layer 0,the,0.0050760214
9,Layer 0,4,0.00486063
10,Layer 1,assistant,0.005601681
11,Layer 1,of,0.0032719534
12,Layer 1,capital,0.0030225664
13,Layer 1,the,0.002567511
14,Layer 1,user,0.0025434527
15,Layer 1,France,0.0025406617
16,Layer 1,is,0.002540448
17,Layer 1,3,0.0022459158
18,Layer 1,What,0.0020075808
19,Layer 1,202,0.0017714377
20,Layer 2,of,0.0053496677
21,Layer 2,assistant,0.004597862
22,Layer 2,capital,0.0041579995
23,Layer 2,France,0.0036605448
24,Layer 2,3,0.0022955195
25,Layer 2,is,0.0019505061
26,Layer 2,user,0.0019390289
27,Layer 2,What,0.0018821347
28,Layer 2,the,0.0016930744
29,Layer 2,202,0.0013356557
30,Layer 3,of,0.009085448
31,Layer 3,assistant,0.008549416
32,Layer 3,capital,0.0076644556
33,Layer 3,France,0.0057979566
34,Layer 3,202,0.0056556673
35,Layer 3,What,0.0035323037
36,Layer 3,is,0.0031890322
37,Layer 3,user,0.0029070452
38,Layer 3,202,0.0024210482
39,Layer 3,3,0.0020061794
40,Layer 4,of,0.012733387
41,Layer 4,capital,0.0065674493
42,Layer 4,France,0.0064037335
43,Layer 4,202,0.0063243704
44,Layer 4,assistant,0.0044695884
45,Layer 4,What,0.0026279204
46,Layer 4,user,0.0026124227
47,Layer 4,3,0.0022185873
48,Layer 4,202,0.0020440097
49,Layer 4,4,0.0019019032
50,Layer 5,of,0.032692924
51,Layer 5,capital,0.01863214
52,Layer 5,assistant,0.010743673
53,Layer 5,France,0.010127837
54,Layer 5,202,0.009100883
55,Layer 5,What,0.008366695
56,Layer 5,the,0.005989965
57,Layer 5,user,0.0043496597
58,Layer 5,3,0.003990331
59,Layer 5,is,0.0033474334
60,Layer 6,of,0.027762474
61,Layer 6,France,0.02588474
62,Layer 6,capital,0.021689985
63,Layer 6,assistant,0.013276649
64,Layer 6,3,0.0064878142
65,Layer 6,202,0.0052091167
66,Layer 6,user,0.004918738
67,Layer 6,What,0.0032333813
68,Layer 6,is,0.0023093307
69,Layer 6,4,0.002212687
70,Layer 7,France,0.042868596
71,Layer 7,capital,0.02890712
72,Layer 7,of,0.021518527
73,Layer 7,assistant,0.0137475915
74,Layer 7,202,0.00773833
75,Layer 7,What,0.0060454397
76,Layer 7,3,0.005294115
77,Layer 7,user,0.0046909223
78,Layer 7,4,0.0046484773
79,Layer 7,202,0.0038301845
80,Layer 8,France,0.03477582
81,Layer 8,capital,0.025403306
82,Layer 8,of,0.01706964
83,Layer 8,assistant,0.012351378
84,Layer 8,202,0.00785783
85,Layer 8,,0.0061615855
86,Layer 8,3,0.004895807
87,Layer 8,What,0.0047455365
88,Layer 8,user,0.003518083
89,Layer 8,Date,0.003157411
90,Layer 9,France,0.02441204
91,Layer 9,capital,0.021275425
92,Layer 9,of,0.0192112
93,Layer 9,assistant,0.012048744
94,Layer 9,202,0.0051307706
95,Layer 9,What,0.004599088
96,Layer 9,3,0.0036171447
97,Layer 9,user,0.0033102348
98,Layer 9,Date,0.0031809125
99,Layer 9,is,0.0031800636
100,Layer 10,capital,0.030971188
101,Layer 10,France,0.0178066
102,Layer 10,of,0.014018613
103,Layer 10,assistant,0.008043068
104,Layer 10,202,0.0040680375
105,Layer 10,user,0.0022094585
106,Layer 10,What,0.0021584174
107,Layer 10,3,0.002014059
108,Layer 10,Date,0.0015171318
109,Layer 10,the,0.0013815499
110,Layer 11,France,0.010528017
111,Layer 11,capital,0.0095247915
112,Layer 11,assistant,0.009439164
113,Layer 11,of,0.009113154
114,Layer 11,user,0.0035070535
115,Layer 11,202,0.0029208693
116,Layer 11,3,0.0025711574
117,Layer 11,What,0.0025709094
118,Layer 11,Date,0.0021794247
119,Layer 11,Date,0.002143374
120,Layer 12,assistant,0.00990031
121,Layer 12,202,0.0076149264
122,Layer 12,France,0.007324397
123,Layer 12,3,0.0070307115
124,Layer 12,capital,0.004998662
125,Layer 12,4,0.00444375
126,Layer 12,user,0.003276184
127,Layer 12,of,0.0026978913
128,Layer 12,What,0.0016748527
129,Layer 12,Today,0.0013383493
130,Layer 13,France,0.007585374
131,Layer 13,3,0.007106009
132,Layer 13,capital,0.0043440657
133,Layer 13,assistant,0.004292425
134,Layer 13,202,0.0037762558
135,Layer 13,4,0.0021372794
136,Layer 13,Today,0.0020988362
137,Layer 13,of,0.0019307885
138,Layer 13,What,0.0017772458
139,Layer 13,system,0.0009405749
140,Layer 14,France,0.00912051
141,Layer 14,202,0.008630827
142,Layer 14,assistant,0.0064792642
143,Layer 14,capital,0.00526818
144,Layer 14,of,0.001786164
145,Layer 14,4,0.0016780909
146,Layer 14,3,0.0016172966
147,Layer 14,What,0.0013686408
148,Layer 14,the,0.001101546
149,Layer 14,,0.00091251824
150,Layer 15,France,0.00972943
151,Layer 15,capital,0.0048675886
152,Layer 15,assistant,0.0028959564
153,Layer 15,202,0.0027692262
154,Layer 15,of,0.0025565652
155,Layer 15,Today,0.001089479
156,Layer 15,4,0.0009847077
157,Layer 15,the,0.0009380387
158,Layer 15,3,0.00086905056
159,Layer 15,What,0.0007890797
